108,90,61
156,62,54
198,95,118
63,247,13
56,37,233
219,232,171
27,118,168
164,0,80
89,105,210
185,154,77
90,82,119
88,148,79
141,159,185
222,86,96
71,105,97
102,223,68
205,176,15
218,49,130
188,19,22
118,87,99
18,79,101
250,147,22
88,78,92
163,57,28
165,167,152
114,243,46
89,182,217
4,73,102
222,95,191
172,3,38
137,51,17
22,130,26
34,210,4
133,27,86
42,68,112
237,158,76
29,232,21
188,244,237
84,173,122
136,232,147
82,235,29
44,220,150
35,241,233
119,70,66
96,24,220
80,83,8
214,243,22
80,14,235
118,72,169
47,70,188
247,111,214
74,49,27
68,239,208
118,4,40
99,143,201
91,10,101
205,69,179
29,252,251
144,188,9
193,240,179
30,22,57
16,146,42
216,104,113
200,130,27
69,12,84
236,234,7
95,1,9
74,104,242
152,137,245
194,13,232
34,110,163
9,38,202
119,96,103
38,68,159
55,241,77
44,203,133
74,231,211
36,181,231
140,81,184
225,157,217
198,237,89
85,215,24
234,226,161
32,152,100
116,158,62
181,25,131
65,89,150
25,253,66
83,240,179
35,70,177
238,151,168
182,2,219
148,75,68
114,58,204
190,116,171
244,85,78
131,1,28
28,19,235
217,1,62
113,39,84
35,242,66
50,129,18
64,25,235
15,120,150
3,195,77
24,134,89
80,24,214
188,168,72
98,61,114
156,221,56
100,43,162
135,253,186
254,154,150
198,71,91
22,170,7
112,246,134
41,86,152
5,179,170
67,91,152
221,158,197
245,183,243
187,181,115
29,65,137
1,94,27
29,197,254
229,194,245
81,19,51
50,182,82
226,131,57
173,183,160
92,206,80
221,173,20
106,106,30
222,175,118
13,158,182
128,143,115
21,185,65
220,213,159
104,2,77
251,6,15
65,225,244
165,130,178
190,161,197
23,51,89
174,39,211
128,4,13
28,229,201
156,55,162
35,151,134
37,179,182
184,196,4
196,122,141
232,183,228
227,61,172
118,120,49
81,231,70
51,101,185
53,12,153
71,187,191
249,93,41
56,33,210
126,205,85
144,72,232
235,199,75
121,67,140
212,82,241
134,8,220
51,10,226
93,104,7
53,64,236
119,78,30
235,110,228
30,229,221
192,55,144
74,90,107
223,117,18
170,71,94
166,111,57
246,125,54
178,234,64
112,93,118
227,189,99
248,76,78
228,157,65
95,22,252
42,211,209
239,223,54
202,28,200
44,109,28
212,5,137
213,172,193
11,161,110
229,221,163
68,0,125
253,238,79
243,97,43
177,163,68
27,79,228
226,78,139
107,39,12
94,110,168
174,182,177
117,137,249
132,113,72
126,183,6
70,45,45
76,199,40
94,179,191
244,156,234
138,181,17
99,86,125
161,1,55
101,46,253
192,0,59
248,73,102
89,89,101
43,186,26
189,63,221
188,246,180
131,7,242
92,248,179
156,0,126
245,28,248
216,36,29
103,93,61
89,188,74
128,219,34
165,4,98
45,120,142
243,218,23
90,149,178
23,71,65
241,33,17
203,83,71
67,166,58
149,76,59
82,191,11
54,50,9
66,150,227
56,208,112
59,100,107
138,186,61
51,83,142
17,179,203
33,206,65
38,17,153
223,2,149
225,63,37
37,190,84
166,185,106
144,121,89
26,234,162
53,58,64
99,90,193
70,80,154
238,220,82
240,235,78
159,171,59
19,212,90
243,149,96
81,186,13
83,18,98
88,18,234
97,48,191
228,17,75
24,42,238
12,54,226
148,127,134
123,38,67
90,238,112
240,10,22
168,43,54
169,176,217
228,150,179
39,89,246
28,65,92
76,121,9
20,249,215
169,174,2
254,173,93
240,64,236
153,1,135
186,30,98
72,241,226
39,106,18
137,209,21
230,140,78
214,238,122
25,90,156
183,22,88
70,209,215
134,206,198
112,218,111
245,246,194
230,190,157
33,50,135
236,230,203
26,191,45
144,74,156
92,79,105
241,241,213
239,122,196
149,93,63
55,166,212
151,72,140
56,76,106
163,183,64
103,201,18
86,103,203
0,77,68
247,84,180
174,76,55
80,197,140
242,247,8
219,147,69
208,185,139
173,253,138
48,2,76
66,72,109
146,165,231
179,213,106
78,162,83
101,181,54
111,187,206
73,211,251
249,68,14
163,204,30
207,58,24
5,48,203
72,7,109
227,143,174
178,134,18
97,67,212
215,243,199
106,64,14
227,207,61
92,224,229
18,40,70
4,177,121
226,29,224
233,234,223
168,151,58
132,155,12
33,141,1
34,184,192
171,229,165
144,39,171
60,7,44
99,183,182
145,73,110
199,190,240
138,130,34
64,19,178
31,90,66
230,52,116
0,164,147
63,97,196
41,182,18
189,234,196
51,234,57
171,203,174
209,171,186
96,110,94
82,37,23
228,15,154
143,222,99
218,3,188
185,49,107
226,126,142
160,110,47
168,125,112
212,11,86
164,59,170
111,88,138
138,47,71
239,44,102
32,142,14
154,95,40
87,56,189
8,180,164
246,142,18
21,48,9
111,28,117
221,184,179
158,203,206
18,58,89
155,220,68
251,6,202
208,97,144
163,201,244
10,7,230
173,31,46
106,182,1
98,30,180
2,158,116
148,30,109
3,3,102
8,33,40
77,240,181
35,241,152
4,176,23
163,193,186
188,50,38
114,199,97
157,34,55
5,123,134
81,128,249
146,123,30
83,144,37
223,29,245
59,194,188
58,130,29
192,104,64
191,64,212
193,217,104
230,149,1
130,60,56
245,220,71
172,120,229
131,102,29
149,250,32
52,251,90
31,245,39
210,199,87
133,57,253
214,54,211
217,205,88
163,97,212
146,134,252
122,196,204
15,236,15
71,157,97
243,159,54
128,5,37
178,250,224
112,216,104
46,155,111
56,114,107
245,45,3
19,112,18
131,223,217
117,26,37
247,121,253
62,158,206
107,170,219
19,3,30
201,21,212
31,226,46
130,60,63
113,153,61
60,53,239
73,9,190
153,198,18
254,201,222
123,116,104
140,9,97
230,69,196
60,106,207
130,43,19
152,227,78
171,166,3
220,87,26
32,207,7
109,35,95
150,230,67
80,218,185
63,102,111
44,236,79
219,140,208
195,8,144
31,83,123
21,19,184
91,95,136
239,240,155
180,34,73
46,246,26
214,137,118
151,43,121
129,219,209
128,121,183
185,244,7
21,227,39
130,170,118
205,138,226
250,63,198
105,176,226
100,13,154
137,16,0
51,7,179
217,151,111
103,195,25
133,88,186
67,109,203
148,203,196
0,176,213
248,64,69
42,71,19
116,37,147
51,235,164
10,229,245
150,234,144
134,131,65
43,229,4
184,112,24
8,48,95
12,62,218
190,10,129
237,147,68
5,252,225
111,207,242
214,65,22
209,145,178
44,175,194
250,0,167
182,137,244
23,67,52
57,31,24
139,113,101
169,10,200
146,95,144
69,206,63
53,32,107
145,10,249
79,49,66
250,94,19
233,56,166
15,21,189
29,231,177
73,195,215
85,8,31
63,164,17
4,124,117
44,222,83
61,69,184
221,73,83
218,98,97
247,65,192
194,27,46
145,120,137
206,227,183
91,194,233
124,251,57
61,187,187
236,115,53
77,169,135
136,132,200
192,228,115
142,214,88
144,36,242
65,36,4
200,89,56
190,138,160
86,45,8
189,53,179
221,134,5
144,106,8
48,212,89
172,83,173
58,224,49
224,238,254
44,196,96
58,236,237
32,1,11
69,192,46
174,47,64
225,127,108
194,191,224
90,132,34
212,182,191
26,230,78
146,119,71
233,13,194
137,180,243
193,198,29
12,191,231
55,172,54
51,169,237
245,218,164
239,158,172
92,44,175
56,253,5
213,155,5
35,122,92
153,59,236
90,194,51
65,59,73
49,194,221
208,235,87
38,240,6
164,204,223
216,87,44
30,26,211
238,9,206
22,221,210
27,77,186
244,222,48
62,66,171
106,187,181
251,11,32
147,92,226
218,35,204
231,0,149
57,180,201
21,189,35
183,4,212
39,181,24
225,249,211
105,146,229
219,248,25
7,77,222
112,61,7
140,131,72
98,128,79
90,82,173
61,149,50
104,90,157
198,158,200
30,246,111
238,70,81
4,26,95
47,168,223
18,156,13
34,234,150
204,43,167
157,32,160
98,191,180
131,112,36
176,5,12
237,177,86
207,249,222
36,208,217
17,112,15
235,114,91
10,25,49
94,254,63
71,36,12
238,229,49
236,227,74
89,97,59
4,17,163
38,253,74
71,14,99
26,66,107
94,191,128
153,211,123
139,213,127
138,185,1
58,144,56
99,136,96
89,117,174
63,67,85
98,0,36
27,199,86
52,190,12
191,225,143
188,112,45
74,3,55
55,217,168
201,194,58
5,216,42
220,123,173
226,206,65
175,125,182
128,123,66
104,51,30
39,151,121
42,165,145
226,19,4
156,121,209
158,127,205
7,13,94
117,168,27
85,241,47
3,81,28
227,189,236
14,16,72
51,129,126
235,71,107
126,228,9
77,48,215
152,167,190
226,237,113
244,67,229
229,4,29
203,53,136
62,86,219
224,211,15
147,222,122
199,242,179
97,42,121
245,187,238
205,241,65
11,242,56
57,190,15
249,96,42
253,236,116
194,217,4
243,33,179
151,217,209
189,17,153
27,225,97
66,87,168
203,228,27
204,156,9
8,21,236
75,53,141
18,100,65
235,176,109
156,233,44
129,220,48
187,49,85
243,94,165
169,230,92
72,191,75
218,25,149
235,155,191
141,100,221
235,180,36
191,33,140
212,147,209
94,82,253
98,161,201
29,142,202
25,101,152
67,249,117
91,63,175
23,90,194
241,87,165
162,102,125
61,1,101
233,220,200
195,178,150
183,54,75
178,5,150
198,5,221
80,121,64
89,135,124
162,20,226
15,153,112
83,10,140
114,13,235
150,245,22
35,129,141
10,63,246
243,172,122
227,188,107
17,167,221
107,19,208
73,243,33
241,175,188
117,96,112
68,108,100
164,65,130
175,137,250
232,111,22
134,54,142
0,149,222
38,160,136
187,30,73
230,230,114
147,6,182
236,50,172
222,169,195
130,164,21
223,187,155
219,122,28
12,207,180
26,125,230
247,47,180
172,20,84
42,146,37
28,68,88
89,161,35
11,193,105
26,105,105
14,114,121
208,201,201
29,163,158
109,223,18
141,238,206
75,7,10
15,125,212
18,178,145
99,227,172
187,211,143
241,52,131
15,83,16
244,97,103
151,55,174
37,63,248
52,124,150
54,98,145
176,91,42
42,89,52
187,36,42
19,142,157
8,59,115
224,1,229
140,55,247
139,67,144
27,140,248
142,125,2
35,254,32
64,151,9
53,8,210
98,212,170
148,0,123
167,37,159
5,113,235
179,13,143
137,75,1
199,95,230
246,99,66
229,18,232
56,180,49
141,3,233
100,208,211
110,84,21
99,134,41
186,10,112
42,210,106
24,137,150
101,121,51
131,147,152
228,197,71
72,13,249
226,41,39
109,203,4
34,137,118
209,207,144
18,191,201
207,180,128
89,122,254
45,211,42
100,46,74
203,24,6
202,147,9
83,98,26
230,252,101
27,91,66
133,70,82
10,95,65
130,155,245
35,108,161
121,101,142
239,184,238
141,57,159
74,50,28
249,86,165
75,173,112
193,186,20
191,139,250
192,75,192
43,241,169
65,96,0
245,167,34
148,109,217
164,36,57
174,216,107
239,61,54
113,26,53
102,57,103
253,22,56
135,106,201
125,155,15
71,136,54
229,118,3
236,57,24
104,229,187
73,239,88
172,215,211
81,64,73
237,26,51
51,27,74
163,55,51
69,44,176
8,110,169
192,162,175
133,84,76
16,186,65
22,217,132
152,190,159
67,45,225
85,134,93
105,169,81
67,15,247
191,131,33
216,13,57
7,183,6
74,59,245
192,123,80
4,13,231
210,179,215
43,225,163
142,192,82
101,215,185
58,196,53
89,26,198
2,128,167
51,187,231
190,43,235
217,215,35
213,206,168
199,9,199
130,1,97
88,160,130
174,63,180
13,133,89
17,94,251
6,226,94
17,139,82
179,230,152
164,219,173
118,27,241
8,221,42
202,56,198
184,212,62
42,68,241
216,232,134
201,93,182
214,111,96
97,96,75
87,251,62
201,29,140
112,178,174
99,13,56
90,218,207
121,244,117
102,107,224
210,175,66
38,7,180
61,142,22
14,88,53
244,247,175
151,128,167
52,210,82
205,107,121
99,216,25
135,128,145
247,178,18
244,60,132
181,17,226
169,212,241
233,37,23
209,170,237
240,230,37
104,106,226
116,196,175
214,153,72
139,107,82
172,85,83
25,53,234
236,179,251
177,186,166
143,8,58
160,88,63
20,252,232
101,35,163
86,117,52
228,9,230
40,47,63
187,67,221
135,26,238
158,242,220
170,24,138
191,22,235
172,163,189
21,55,82
95,90,124
159,26,116
13,158,82
94,110,187
177,226,222
186,110,217
35,155,162
137,121,119
180,117,55
177,17,224
215,0,237
105,19,71
41,225,91
16,250,58
123,21,240
212,173,56
253,73,136
33,171,143
34,176,90
223,69,136
93,131,172
63,73,204
47,57,235
48,43,159
36,80,117
142,236,63
137,79,184
225,178,128
201,231,126
109,149,110
189,107,245
32,4,180
